Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Pedro pereira,Your  name,One piece,Oregairu,Full metal alchrsmit brotherhood,Perfect blue,Code geass,Hunter x hunter,Your lie in april,Bunny girl ,Erased,,,Romance
Kishida,Jujutsu Kaisen,Fullmetal Alchemist Brotherhood,Attack on Titan,Neon Genesis Evangelion,Mob Psycho 100,Chainsaw Man,Megalobox,Death Note,Cyberpunk: Edgerunners,Naruto,Darling in the Franxx,Konosuba,"Bons personagens, relações emocionais com profundidade entre os personagens"
Callme.rafa_,Fullmetal alchemist brotherhood,Jujutsu kaisen,Demon slayer,Boku no hero academy,One punch man,,,,,,,Fairy Tail,"Acho que de tudo um pouco, mas gosto dos que tem um pouco de humor"
D,One Piece,Death note,Fullmetal alchemist brotherhood,Steins gate,Berzerker,Tengen toppa gurren lagann,Grand blue,Danshi kokousei no nichijou,Boku no hero academia ,Parasyte,,,"Boa animação, trama, plot twist e pacing adequado"
Eduardo Martins ,One Piece ,Beck: Mongoliam chop squad,Demon slayer,Avatar a lenda de aang,Katekyo hitman reborn,One punch man,Jujutsu kaisen ,A voz do silêncio ,Pokemon,Naruto,,,Animação de qualidade e enredo bem elaborado
Leonardo,Hunter x Hunter,Fullmetal Alchemist Brotherhood,Berserk,Serial Experiments Lain,Monster,Akira,Neon Genesis Evangelion,Perfect Blue,Saint Seiya,Pokemon,,,Evolução e amadurecimento emocional dos personagens
Gustavo Brito,Dragon Ball Z,Tengen toppa gurren lagann,shingeki no kyojin,re:zero,Mob Psycho 100,vinland saga,Code Geass,Monster,Sword art Online,Naruto Shippuden,,,"Muita porradaria , trilha sonora bem construida (compositores como hiroyuki sawano, Yutaka Yamada) e um bom desenvolvimento de personagem (gosto muito dos momentos de ""epifania"" de alguns protagonistas)"
bode místico,Toradora,Code Geass,Berserk,Shingeki No Kyojin,Golden Kamuy,,,,,,,,"Adoro tudo que eu não fui capaz de prever, ou se fui, que seja feita de uma forma surpreendente."
Pera,One Piece,Vinland saga,Hunterxhunter,Jujutsu kaisen,Naruto,,,,,,,,Lutas emocionantes
Klose,Sword Art Online,Code Geass,Akame ga Kill,Horimiya,Grimgar,Blue lock,Naruto,The Eminence in Shadow,Haikyuu,Kuroko no Basketball,,,Romance no geral e determinações verdadeiras
Giovanna,Haikyuu!,HunterXHunter,Ouran High School,Magi,Fullmetal Alchemist Brotherhood,Attack on Titan,,,,,,,"lutas inteligentes, lógica, estratégia"
Gustavo,One Piece,Gintama,Haikyuu,HunterxHunter,Fate Unlimited Blade Works,Dragon Ball Z,Cavaleiros do Zodíaco ,Naruto,Code Geass,Bleach,,,"Desenvolvimento de mundo e mistérios. Não gosto de: conclusões ruins(como: poder da amizade), sexualização, fan service escandalosos e desnecessários, traço hiperrealista, rotoscopia, 3d."
Calisto,Fullmetal Alchemist,Bungou stray dogs,Kuroshitsuji,Jujutsu Kaisen,Pandora Hearts,Kimetsu no yaiba,My hero academia,Yuukoku no Moriarty ,Tokyo Revengers,Ao no exorcist,,,"Reviravoltas inesperadas, personagens lgbt+, dilemas morais, aberturas felizes ou emocionantes"
Jão Bomzao,Mirai Nikki,Jujutsu Kaisen,demon slayer,bleach,boku no hero,chainsaw man,,,,,,,história envolvente e bem desenvolvida
Vini,Hunter X Hunter,One Piece,That Time I Got Reincarnated as a Slime,Mahouka Koukou no Rettousei,Oshi no Ko,Overlord,Fullmetal Alchemist: Brotherhood,Koe no Katachi,Erased,Naruto,,,Super poderes ou dia dia com um suspense e misterio.
